,Monit_MAP_CODE1,Year,LAKE_NAME,Mean_Secchi_Depth_Result,Mean_Phosporus_Result,Mean_EMV_Total,STD_EMV_Total,Mean_Sale_Value,STD_Sale_Value,Mean_Total_Tax,STD_Total_Tax,Mean_Garage_Size,STD_Garage_Size,Mean_Fin_SQ_FT,STD_Fin_SQ_FT,Percentage_Yes_Basement,Percentage_Yes_Garage,Percentage_Yes_Tax_Exempt,Percentage_Air_Cooling,Percentage_AC_Cooling,Percentage_Central_Cooling,Percentage_Other_Cooling,Percentage_No_Cooling,Percentage_Air_Heating,Percentage_Space_Heating,Percentage_Water_Heating,Percentage_Electric_Heating,Percentage_Other_Heating,Percentage_No_Heating
169,19003100-01,2010,Orchard Lake,2.957142857142857,0.025142857142857144,318891.125,214134.1197929969,191388.268125,207804.23579441314,3863.0475,3776.9305107183927,798.1777777777778,533.6500082574079,2435.493125,1595.8822101648623,0.0,2.5625,8.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,19003100-01,2009,Orchard Lake,3.6799999999999997,0.017400000000000002,345707.5046904315,228248.13985638457,189258.40587867418,207609.77556355982,3838.2470293933707,3295.7573997773793,798.1777777777778,533.6500082574078,2490.64602876798,2261.960736341065,0.0,2.564102564102564,8.317698561601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,19003100-01,2008,Orchard Lake,2.95,0.02407142857142857,363245.5340412242,231180.4334423769,187313.07995003124,207628.76300426468,3817.1867582760774,3256.5280642464218,798.1777777777778,533.6500082574078,2430.452841973766,1615.0149006064864,0.0,2.5608994378513428,8.30730793254216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,19003100-01,2007,Orchard Lake,1.6714285714285715,0.038571428571428576,367644.5205479452,234984.78689643,183121.4900373599,205726.66814623022,3443.1052303860524,3063.090409713455,798.1777777777778,533.6500082574078,2395.0610211706103,1587.1931301549819,0.0,2.5529265255292652,8.34371108343711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,19003100-01,2006,Orchard Lake,2.5,0.035384615384615396,350986.49657747353,232242.74225607136,175589.8226509023,200112.47512649442,3209.4704418170504,2893.633561934013,711.1063829787234,514.1166858773428,2352.1238332296202,1891.39089713144,0.0,2.551337896701929,8.276291225886744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,19003100-01,2005,Orchard Lake,2.4078571428571434,0.03514285714285715,323273.73988799006,216442.74948729164,161804.7461107654,188235.4674874847,2933.1462352209087,2773.9108143332,815.170731707317,465.8458920307779,2257.596764156814,1586.7737890836936,0.0,2.551337896701929,8.276291225886744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,19003100-01,2004,Orchard Lake,2.628571428571429,0.03578571428571429,285434.03361344535,189297.1113370117,144123.14225690276,174008.62087589197,2625.730492196879,2735.4507285423515,818.4193548387096,463.43735489743494,2147.3649459783915,1623.193376898302,0.0,3.721488595438175,8.94357743097239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,19003300-01,2014,Earley Lake,1.4642857142857142,0.04007142857142858,508787.729468599,2887288.3129126974,255369.65120772948,1442678.9855215794,12645.741062801932,104920.05581208676,377.7597423510467,257.0239925018346,4730.964895330113,23823.789041479195,0.0,79.5169082125604,2.4798711755233493,86.98872785829307,0.12882447665056362,2.061191626409018,3.7359098228663443,0.322061191626409,92.14170692431563,0.3864734299516908,0.3864734299516908,0.0,0.322061191626409,0.0
177,19003300-01,2013,Earley Lake,1.5692307692307694,0.031692307692307686,482355.26231091085,2768601.723043164,241825.2735757966,1353252.8431136631,12550.091406501448,103045.05330526929,376.8406823302221,256.6736424041384,4715.8725458641775,23757.350598666817,0.0,79.40135178628903,2.4782748632121017,86.9327325394271,0.1287415513356936,2.124235597038944,3.7335049887351146,0.32185387833923396,92.1467653685227,0.3862246540070808,0.3862246540070808,0.0,0.32185387833923396,0.0
178,19003300-01,2012,Earley Lake,1.9166666666666667,0.05575,476499.38847763115,2746989.5656357715,205518.88091406503,821876.27092186,11884.635983263599,97868.23819866778,396.64518317503394,247.37310269733638,4716.531702607016,23757.29674523641,0.0,79.40135178628903,2.4782748632121017,86.9327325394271,0.1287415513356936,2.124235597038944,3.7335049887351146,0.32185387833923396,92.1467653685227,0.3862246540070808,0.3862246540070808,0.0,0.32185387833923396,0.0
179,19003300-01,2011,Earley Lake,1.9625,0.0315,487563.1392730782,2743082.154237396,173394.99131553553,813277.9556314038,11538.483113541331,93060.25454391765,396.9144602851324,247.2409617959988,4681.2524927629465,23722.039178249113,0.0,79.35027339980701,2.541009971051785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,19003300-01,2010,Earley Lake,1.6363636363636365,0.03818181818181818,485344.1401273885,2719578.1385981175,203521.57611464968,910204.2850408105,10696.677388535032,92229.86378360984,,,3675.750955414013,14655.258213661544,0.0,0.0,2.4522292993630574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,19003300-01,2009,Earley Lake,2.0555555555555554,0.04022222222222222,516990.86873811035,2896809.741786107,202995.85764109067,909744.5627963218,10902.561509194673,90150.57369839925,,,5031.206404565631,27243.328345985035,0.0,0.0,2.568167406467977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,19003300-01,2008,Earley Lake,1.9333333333333336,0.03366666666666667,540238.7936507936,3007585.389307986,196383.31174603174,874323.6889094637,10607.594603174603,87367.51118370144,,,4666.544444444445,22147.283124681187,0.0,0.0,2.5396825396825395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,19003300-01,2007,Earley Lake,1.2875,0.04624999999999999,530223.0110935024,2931078.1015053317,194118.96703645008,872495.3634687756,9726.121077654516,84073.72881626169,,,4690.129001584786,22558.874605279416,0.0,0.0,2.535657686212361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,19003300-01,2006,Earley Lake,1.5333333333333332,0.04533333333333334,497528.0177890724,2761393.8496649717,164021.1829733164,522024.82515053917,7159.438691232529,32536.659114307924,,,4836.965374841169,26522.15798754403,0.0,0.0,2.2871664548919948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,19003300-01,2005,Earley Lake,1.6285714285714286,0.06057142857142857,471866.69865642994,2682974.3748407788,212557.37140115164,2110572.256764563,8967.6660268714,84116.08676930293,,,4600.260076775432,22183.869919269237,0.0,0.0,2.5591810620601407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,19003300-01,2004,Earley Lake,1.6849999999999998,0.060666666666666674,439312.29586935637,2588955.3883301206,199714.29747038105,2105683.437079692,8995.469420429075,87663.80267403174,,,4536.793147614473,22077.046209747645,0.0,0.0,2.4335574767851424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,19034800-01,2014,Valley Lake,1.5916666666666668,0.07525,204416.62959794697,851634.6904910839,145094.20290846878,88475.83983235552,2512.1721129170232,12806.532325381295,318.6554319931565,270.77714481850796,1919.6860564585115,7465.896321298294,0.0,70.16253207869974,1.420017108639863,96.15055603079556,0.03421727972626176,0.2053036783575706,0.06843455945252352,0.1026518391787853,96.39007698887939,0.0,0.06843455945252352,0.0,0.0,0.1026518391787853
188,19034800-01,2013,Valley Lake,1.1545454545454545,0.17709090909090908,188162.71157462813,781068.8845074136,144311.14720465036,88928.39942399111,2494.3166353222773,12634.320849843783,318.1106171995213,270.60336502193695,1913.671738758762,7463.448358964636,0.0,70.08035561634468,1.3506582321764404,96.01641306206189,0.034193879295606085,0.20516327577363652,0.06838775859121217,0.10258163788681826,96.25577021713113,0.0,0.06838775859121217,0.0,0.0,0.10258163788681826
189,19034800-01,2012,Valley Lake,1.3923076923076922,0.08230769230769232,183389.416994358,756892.5006703062,143310.77107197812,89433.25619355525,2411.1256625064116,9635.430203579053,323.7294138171668,269.0179712857244,1910.0324841853308,7463.66930457136,0.0,69.97777397845786,1.3506582321764404,95.98221918276629,0.034193879295606085,0.20516327577363652,0.06838775859121217,0.10258163788681826,96.22157633783553,0.0,0.06838775859121217,0.0,0.0,0.10258163788681826
190,19034800-01,2011,Valley Lake,1.7416666666666665,0.084,190651.14569083447,605015.3849001279,106006.29411764706,95267.24195979598,2358.4427154582763,8930.321263163845,323.73220516399164,269.01515128357227,1910.814979480164,7464.180787129512,0.0,69.98974008207935,1.3508891928864568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,19034800-01,2010,Valley Lake,1.5714285714285712,0.07057142857142859,191271.26827609655,582408.7562423727,142471.09537572254,90813.4591841087,2441.753995239714,8768.823259309454,,,1688.4787487249234,572.162477807347,0.0,0.0,1.34308058483509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
